julia script:
=============

for i in 1:100
	println(i,"/7 : ",i/7)
end

=============

1/7 : 0.14285714285714285
2/7 : 0.2857142857142857
3/7 : 0.42857142857142855
4/7 : 0.5714285714285714
5/7 : 0.7142857142857143
6/7 : 0.8571428571428571
7/7 : 1.0
8/7 : 1.1428571428571428
9/7 : 1.2857142857142858
10/7 : 1.4285714285714286
11/7 : 1.5714285714285714
12/7 : 1.7142857142857142
13/7 : 1.8571428571428572
14/7 : 2.0
15/7 : 2.142857142857143
16/7 : 2.2857142857142856
17/7 : 2.4285714285714284
18/7 : 2.5714285714285716
19/7 : 2.7142857142857144
20/7 : 2.857142857142857
21/7 : 3.0
22/7 : 3.142857142857143
23/7 : 3.2857142857142856
24/7 : 3.4285714285714284
25/7 : 3.5714285714285716
26/7 : 3.7142857142857144
27/7 : 3.857142857142857
28/7 : 4.0
29/7 : 4.142857142857143
30/7 : 4.285714285714286
31/7 : 4.428571428571429
32/7 : 4.571428571428571
33/7 : 4.714285714285714
34/7 : 4.857142857142857
35/7 : 5.0
36/7 : 5.142857142857143
37/7 : 5.285714285714286
38/7 : 5.428571428571429
39/7 : 5.571428571428571
40/7 : 5.714285714285714
41/7 : 5.857142857142857
42/7 : 6.0
43/7 : 6.142857142857143
44/7 : 6.285714285714286
45/7 : 6.428571428571429
46/7 : 6.571428571428571
47/7 : 6.714285714285714
48/7 : 6.857142857142857
49/7 : 7.0
50/7 : 7.142857142857143
51/7 : 7.285714285714286
52/7 : 7.428571428571429
53/7 : 7.571428571428571
54/7 : 7.714285714285714
55/7 : 7.857142857142857
56/7 : 8.0
57/7 : 8.142857142857142
58/7 : 8.285714285714286
59/7 : 8.428571428571429
60/7 : 8.571428571428571
61/7 : 8.714285714285714
62/7 : 8.857142857142858
63/7 : 9.0
64/7 : 9.142857142857142
65/7 : 9.285714285714286
66/7 : 9.428571428571429
67/7 : 9.571428571428571
68/7 : 9.714285714285714
69/7 : 9.857142857142858
70/7 : 10.0
71/7 : 10.142857142857142
72/7 : 10.285714285714286
73/7 : 10.428571428571429
74/7 : 10.571428571428571
75/7 : 10.714285714285714
76/7 : 10.857142857142858
77/7 : 11.0
78/7 : 11.142857142857142
79/7 : 11.285714285714286
80/7 : 11.428571428571429
81/7 : 11.571428571428571
82/7 : 11.714285714285714
83/7 : 11.857142857142858
84/7 : 12.0
85/7 : 12.142857142857142
86/7 : 12.285714285714286
87/7 : 12.428571428571429
88/7 : 12.571428571428571
89/7 : 12.714285714285714
90/7 : 12.857142857142858
91/7 : 13.0
92/7 : 13.142857142857142
93/7 : 13.285714285714286
94/7 : 13.428571428571429
95/7 : 13.571428571428571
96/7 : 13.714285714285714
97/7 : 13.857142857142858
98/7 : 14.0
99/7 : 14.142857142857142
100/7 : 14.285714285714286
